
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1943,NFL,Chicago Bears*,8,1,1,Won Champ,303,157,146,JohnsosAnderson,,Luckman,Clarke,Clarke,1,1,2,2,4,1,1,10,14.6,,,,
1942,NFL,Chicago Bears*,11,0,0,Lost Champ,376,84,292,JohnsosAndersonHalas,,Luckman,Famiglietti,McLean,1,1,1,1,3,1,1,10,26.5,,,,
1941,NFL,Chicago Bears*,10,1,0,Won Champ,396,147,249,Halas,,Luckman,McAfee,Kavanaugh,1,1,4,4,2,1,1,10,22.6,,,,
1940,NFL,Chicago Bears*,8,3,0,Won Champ,238,152,86,Halas,,Luckman,Nolting,Kavanaugh,2,3,4,5,1,2,2,10,7.8,,,,
1939,NFL,Chicago Bears,8,3,0,,298,157,141,Halas,,Masterson,Osmanski,Plasman,1,1,5,3,2,2,1,10,12.8,,,,
1938,NFL,Chicago Bears,6,5,0,,194,148,46,Halas,,Masterson,Nolting,Karr,2,3,4,2,3,3,2,10,4.2,,,,
1937,NFL,Chicago Bears*,9,1,1,Lost Champ,201,100,101,Halas,,Masterson,Nolting,Manske,2,4,1,5,2,1,4,10,9.2,,,,
1936,NFL,Chicago Bears,9,3,0,,222,94,128,Halas,,Masterson,Nagurski,Hewitt,3,2,1,8,1,3,4,9,10.7,,,,
1935,NFL,Chicago Bears,6,4,2,,192,106,86,Halas,,Masterson,Ronzani,Johnsos,1,1,4,6,1,1,1,9,7.2,,,,
1934,NFL,Chicago Bears*,13,0,0,Lost Champ,286,86,200,Halas,,Molesworth,Feathers,Feathers,1,1,2,3,4,1,1,11,15.4,,,,
1933,NFL,Chicago Bears*,10,2,1,Won Champ,133,82,51,Halas,,Molesworth,Nagurski,Hewitt,4,3,2,3,5,3,3,10,3.9,,,,
1932,NFL,Chicago Bears,7,1,6,Won Champ,160,44,116,Jones,,Molesworth,Nagurski,Johnsos,1,3,1,1,2,1,3,8,8.3,,,,
1931,NFL,Chicago Bears,8,5,0,,145,92,53,Jones,,,,,4,1,3,1,1,3,1,10,4.1,,,,
1930,NFL,Chicago Bears,9,4,1,,169,71,98,Jones,,,,,5,1,2,1,1,4,1,11,7.0,,,,
1929,NFL,Chicago Bears,4,9,2,,119,227,-108,Halas,,,,,7,1,9,1,1,9,1,12,-7.2,,,,
1928,NFL,Chicago Bears,7,5,1,,182,85,97,Halas,,,,,2,1,3,1,1,3,1,10,7.5,,,,
1927,NFL,Chicago Bears,9,3,2,,149,98,51,Halas,,,,,4,1,4,1,1,4,1,12,3.6,,,,
1926,NFL,Chicago Bears,12,1,3,,216,63,153,Halas,,,,,2,1,4,1,1,2,1,22,9.6,,,,
1925,NFL,Chicago Bears,9,5,3,,158,96,62,Halas,,,,,7,1,6,1,1,6,1,20,3.6,,,,
1924,NFL,Chicago Bears,6,1,4,,136,55,81,Halas,,,,,3,1,5,1,1,3,1,19,7.4,,,,
1923,NFL,Chicago Bears,9,2,1,,123,35,88,Halas,,,,,5,1,2,1,1,4,1,20,7.3,,,,
1922,NFL,Chicago Bears,9,3,0,,123,44,79,Halas,,,,,6,1,2,1,1,3,1,18,6.6,,,,
1921,APFA,Chicago Staleys,9,1,1,Won Champ,128,53,75,Halas,,,,,7,1,4,1,1,4,1,21,6.8,,,,
1920,APFA,Decatur Staleys,10,1,2,,164,21,143,Halas,,,,,7,1,2,1,1,5,1,14,11.0,,,,
